SbjNum,Latitude,Longitude,Q_6,Q_119_LA,Q_119_LO,CountyNew,COUNTYv1
55890059,1.069690372,35.61496295,ELGEYO-MARAKWET,1.069690372,35.61496295,ELGEYO-MARAKWET,
55946832,1.079324655,35.61509309,ELGEYO-MARAKWET,1.079434832,35.61511834,ELGEYO-MARAKWET,
55890057,1.069466097,35.61585004,ELGEYO-MARAKWET,1.069466097,35.61585004,ELGEYO-MARAKWET,
55890058,1.070046197,35.61615864,ELGEYO-MARAKWET,1.070046197,35.61615864,ELGEYO-MARAKWET,
55946827,1.077330182,35.61697975,ELGEYO-MARAKWET,1.077330182,35.61697975,ELGEYO-MARAKWET,
55946828,1.077623351,35.61702549,ELGEYO-MARAKWET,1.077750679,35.61700542,ELGEYO-MARAKWET,
55946829,1.07744208,35.61793932,ELGEYO-MARAKWET,1.07744208,35.61793932,ELGEYO-MARAKWET,
55946830,1.077255094,35.61886928,ELGEYO-MARAKWET,1.077255094,35.61886928,ELGEYO-MARAKWET,
55946831,1.078645721,35.6192917,ELGEYO-MARAKWET,1.078645721,35.6192917,ELGEYO-MARAKWET,
55950439,-0.594053941,37.77116005,EMBU,-0.594053941,37.77116005,EMBU,
55950440,-0.601218306,37.77143811,EMBU,-0.601218306,37.77143811,EMBU,
55950438,-0.587746422,37.77396343,EMBU,-0.587746422,37.77396343,EMBU,
55950441,-0.580199857,37.77431259,EMBU,-0.580199857,37.77431259,EMBU,
55950435,-0.570403433,37.77462676,EMBU,-0.570578596,37.77458189,EMBU,
55950444,-0.578729511,37.77520091,EMBU,-0.578729511,37.77520091,EMBU,
55950432,-0.578337987,37.77541467,EMBU,-0.578337987,37.77541467,EMBU,
55950437, , ,EMBU,-0.581443785,37.77553186,EMBU,
55950433,-0.577139552,37.77589118,EMBU,-0.577139552,37.77589118,EMBU,
55950431, , ,EMBU,-0.579688887,37.77599538,EMBU,
55895339,-0.578537657,37.7761718,EMBU,-0.578537657,37.7761718,EMBU,
55895338, , ,EMBU,-0.579709253,37.77627564,EMBU,
55950449,-0.575408658,37.77628806,EMBU,-0.575408658,37.77628806,EMBU,
55950445,-0.579857726,37.77636462,EMBU,-0.579857726,37.77636462,EMBU,
55950446,-0.579346113,37.77648218,EMBU,-0.579346113,37.77648218,EMBU,
55950447, , ,EMBU,-0.579172551,37.77653425,EMBU,
55950436,-0.579998231,37.7767436,EMBU,-0.579998231,37.7767436,EMBU,
55895341,-0.578640365,37.77677493,EMBU,-0.578640365,37.77677493,EMBU,
55895340,-0.578624562,37.77705028,EMBU,-0.578624562,37.77705028,EMBU,
55950448,-0.578778433,37.78056125,EMBU,-0.578778433,37.78056125,EMBU,
55809722,-1.684858383,40.16719911,GARISSA,-1.684858383,40.16719911,GARISSA,
55809661,-1.685091696,40.16745986,GARISSA,-1.685091696,40.16745986,GARISSA,
55809725,-1.685560534,40.16761458,GARISSA,-1.685560534,40.16761458,GARISSA,
55809723,-1.685473238,40.16761867,GARISSA,-1.685473238,40.16761867,GARISSA,
55809645,-1.685353045,40.16756557,GARISSA,-1.685238239,40.1676739,GARISSA,
55809726,-1.685275685,40.16770902,GARISSA,-1.685208804,40.16769166,GARISSA,
55809660,-1.685271336,40.16775443,GARISSA,-1.685271336,40.16775443,GARISSA,
55832304,-1.682914992,40.16804312,GARISSA,-1.682914992,40.16804312,GARISSA,
55832302,-1.684387165,40.16804703,GARISSA,-1.684387165,40.16804703,GARISSA,
56074120,-1.6831305,40.1681013,GARISSA,-1.6831305,40.1681013,GARISSA,
56074121,-1.683294312,40.16813882,GARISSA,-1.683294312,40.16813882,GARISSA,
55832301,-1.684671627,40.16815159,GARISSA,-1.684671627,40.16815159,GARISSA,
56074118,-1.695264486,40.1682362,GARISSA,-1.695264486,40.1682362,GARISSA,
55832305,-1.683896247,40.16843266,GARISSA,-1.683913392,40.16833271,GARISSA,
55832300,-1.685340819,40.16840293,GARISSA,-1.685340819,40.16840293,GARISSA,
56074122,-1.683184408,40.16844952,GARISSA,-1.683010373,40.1684358,GARISSA,
56074119,-1.683090683,40.16858776,GARISSA,-1.683099431,40.16852817,GARISSA,
55832303,-1.684279876,40.16855357,GARISSA,-1.684279876,40.16855357,GARISSA,
55726357,-1.6850439,40.1698577,GARISSA,-1.6850439,40.1698577,GARISSA,
55726358,-1.6843249,40.1704582,GARISSA,-1.6843249,40.1704582,GARISSA,
55884965, , ,GARISSA,0.056077886,40.30517237,GARISSA,
55889325, , ,GARISSA,0.056190189,40.30526967,GARISSA,
55889324,0.056261748,40.3052892,GARISSA,0.056261748,40.30528919,GARISSA,
55885100, , ,GARISSA,0.056158861,40.30533448,GARISSA,
55884964,0.056209174,40.30533918,GARISSA,0.056209174,40.30533918,GARISSA,
55889327,0.056157058,40.30531951,GARISSA,0.056161053,40.30537687,GARISSA,
55885168,0.055784859,40.30732252,GARISSA,0.055798934,40.30724705,GARISSA,
55885169, , ,GARISSA,0.055766039,40.30727468,GARISSA,
55889329,0.055716848,40.30731613,GARISSA,0.055716848,40.30731613,GARISSA,
55889328,0.055987585,40.30733269,GARISSA,0.055826496,40.30732743,GARISSA,
55885101,0.055829682,40.30739484,GARISSA,0.055829682,40.30739484,GARISSA,
